答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
276,E_307_600e190233f0c4ec981f6e13_4YDNxETM,19-29 岁,男,本科,5000-9999 元,东北地区（包括黑龙江、吉林、辽宁）,普通职员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200至 500 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:34.0|相关产品的丰富度:32.0|付费价格:27.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:32,2022-02-04 16:38:02,02分30秒,黑龙江省,哈尔滨市,42.184.5.42,Chrome 80.0.3987.99,Android Linux 10
277,E_307_600e38a61b2425ff4d75f0b1_4YDNxETM,19-29 岁,女,本科,2000-4999 元,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌|漫画等周边,不太清楚,不太清楚,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 16:35:19,2022-02-04 16:38:05,02分46秒,湖北省,武汉市,27.17.200.140,Unknown Browser,iPhone iOS 13.6
278,E_307_518a672affb53a74cbbc3ba9_4YDNxETM,46 岁及以上,男,大专,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,线上/线下 演唱会,不太清楚,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:35:19,2022-02-04 16:38:06,02分47秒,上海市,上海市,58.41.129.208,Chrome 63.0.3239.132,Windows 7
279,,19-29 岁,男,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,初音未来|洛天依,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:40.0|相关产品的丰富度:22.0|付费价格:22.0|其他:16.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:38:07,2022-02-04 16:38:07,00分00秒,,,106.4.240.100,Chrome 81.0.4044.138,Android Linux 10
280,E_307_61fce3f41b2425ff3fab8e02_4YDNxETM,19-29 岁,男,大专,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:40,2022-02-04 16:38:09,02分29秒,山东省,淄博市,60.210.60.11,Chrome 88.0.4324.93,Android Linux 10
281,E_307_61b595321b2425dadd49c003_4YDNxETM,30-45 岁,男,博士研究生及以上,2000 元以下,东北地区（包括黑龙江、吉林、辽宁）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,其他:不需要,不愿付费（跳转 14 题）,其他:无需求,不太清楚,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:35:09,2022-02-04 16:38:20,03分11秒,黑龙江省,齐齐哈尔市,42.185.198.250,Chrome 83.0.4103.106,Android Linux 10
282,E_307_61fce3fb1b2425ff3fab8e09_4YDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,直播打赏|代言品牌|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:32,2022-02-04 16:38:22,02分50秒,,,223.104.49.208,Chrome 80.0.3987.99,Android Linux 9
283,E_307_61e4c74233f0c4599c4ff91a_4YDNxETM,19-29 岁,女,本科,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),学生,柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 元以下,漫画等周边,漫画等周边,虚拟偶像种类:28.0|相关产品的丰富度:29.0|付费价格:19.0|其他:24.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:54,2022-02-04 16:38:24,02分30秒,内蒙古自治区,呼和浩特市,223.104.15.81,Unknown Browser,iPhone iOS 13.6
284,E_307_61e4000a33f0c4599c4f502b_4YDNxETM,19-29 岁,男,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌,直播打赏|代言品牌,虚拟偶像种类:46.0|相关产品的丰富度:28.0|付费价格:14.0|其他:12.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:56,2022-02-04 16:38:27,02分31秒,,,223.104.49.109,Chrome 81.0.4044.138,Android Linux 10
285,E_307_5decf82bc46131728b24fa78_4YDNxETM,19-29 岁,男,本科,5000-9999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,初音未来|aespa,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边,直播打赏|漫画等周边,虚拟偶像种类:15.0|相关产品的丰富度:11.0|付费价格:32.0|其他:42.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:35:46,2022-02-04 16:38:28,02分42秒,陕西省,咸阳市,123.139.60.4,Chrome 86.0.4240.99,Android Linux 9
286,E_307_605fdc1c1b242597d3db44e8_4YDNxETM,30-45 岁,男,博士研究生及以上,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,洛天依,娱乐消费，能够带来快乐,花过，200 元以下,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,直播打赏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:01,2022-02-04 16:38:30,02分29秒,北京市,北京市,101.38.127.87,Chrome 81.0.4044.138,Android Linux 10
287,E_307_600faee433f0c42e04f6571d_4YDNxETM,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:36:07,2022-02-04 16:38:35,02分28秒,浙江省,嘉兴市,122.238.84.121,Chrome 88.0.4324.93,Android Linux 10
288,E_307_602e401f1b2425a2361eafab_4YDNxETM,30-45 岁,男,大专,2000-4999 元,东北地区（包括黑龙江、吉林、辽宁）,普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,直播打赏,不太清楚,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:34:33,2022-02-04 16:38:40,04分07秒,黑龙江省,哈尔滨市,111.41.169.76,Chrome 92.0.4515.131,Android Linux 11
289,E_307_61d5152f1b2425aa72e0de96_4YDNxETM,19-29 岁,女,大专,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:11,2022-02-04 16:38:40,02分29秒,广东省,湛江市,116.28.197.170,Unknown Browser,iPhone iOS 15.2.1
290,E_307_61e4b50933f0c4599c4fde96_4YDNxETM,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,直播打赏|漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:24.0|相关产品的丰富度:16.0|付费价格:14.0|其他:46.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:36:11,2022-02-04 16:38:42,02分31秒,江西省,赣州市,183.219.151.10,Chrome 77.0.3865.92,Android Linux 10
291,E_307_5a476fd3c1a87d5a2edde79e_4YDNxETM,19-29 岁,男,大专,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,普通工人,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 201 至 500 元,代言品牌|线上/线下 演唱会|游戏,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:35:36,2022-02-04 16:38:42,03分06秒,四川省,成都市,139.207.49.44,Chrome 66.0.3359.126,Android Linux 7.0
292,E_307_61d68a3333f0c414fcfb6bf9_4YDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:35:41,2022-02-04 16:38:44,03分03秒,浙江省,杭州市,125.210.235.0,Chrome 83.0.4103.106,Android Linux 10
293,E_307_61da6a911b2425aa72e65755_4YDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,不会塌房，追星更加稳定|审美需要,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边,漫画等周边|游戏,虚拟偶像种类:20.0|相关产品的丰富度:20.0|付费价格:35.0|其他:25.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:35:58,2022-02-04 16:38:46,02分48秒,,,223.104.219.117,Chrome 88.0.4324.93,Android Linux 10
294,E_307_614fd6b233f0c42c502caec0_4YDNxETM,30-45 岁,女,大专,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,A-SOUL（嘉然今天吃什么）|aespa,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 501 到 1000 元,漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会,虚拟偶像种类:82.0|相关产品的丰富度:18.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:15,2022-02-04 16:38:47,02分32秒,河南省,郑州市,106.34.163.141,Chrome 83.0.4103.106,Android Linux 11
295,E_307_61d7af791b2425aa71e3b078_4YDNxETM,12-18 岁,男,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依|柳叶熙,不会塌房，追星更加稳定|审美需要,从未,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,代言品牌|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:15,2022-02-04 16:38:48,02分33秒,江西省,抚州市,117.42.111.186,Chrome 88.0.4324.93,Android Linux 10
296,E_307_54f488c6c1a87d7c3db1dce3_4YDNxETM,30-45 岁,男,本科,10000-15000 元,东北地区（包括黑龙江、吉林、辽宁）,普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:36:35,2022-02-04 16:39:04,02分29秒,吉林省,长春市,119.51.137.26,Chrome 83.0.4103.101,Android Linux 10
297,E_307_61ce7cf933f0c47da3af3a4e_4YDNxETM,19-29 岁,女,大专,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:24,2022-02-04 16:39:08,02分44秒,云南省,昆明市,117.136.85.113,Unknown Browser,iPhone iOS 13.1.1
298,E_307_60fa8f8133f0c428479b9087_4YDNxETM,19-29 岁,女,大专,2000-4999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|线上/线下 演唱会|游戏,推广意义不大，日常流量明星就已经能够满足需要,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:36:34,2022-02-04 16:39:10,02分36秒,贵州省,贵阳市,1.204.13.82,Chrome 88.0.4324.93,Android Linux 10
299,E_307_61d1235f1b2425f8aa167936_4YDNxETM,19-29 岁,男,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 501 到 1000 元,代言品牌|漫画等周边|游戏,游戏,虚拟偶像种类:21.0|相关产品的丰富度:34.0|付费价格:27.0|其他:18.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:38,2022-02-04 16:39:18,02分40秒,广东省,汕头市,183.46.22.230,Chrome 70.0.3538.110,Android Linux 8.0.0
300,E_307_536a1ee1611ebf4bf701a66b_4YDNxETM,19-29 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:50,2022-02-04 16:39:18,02分28秒,上海市,上海市,183.193.22.124,Unknown Browser,iPhone iOS 13.6.1
301,E_307_604085661b242546e8499816_4YDNxETM,30-45 岁,女,本科,2000-4999 元,东北地区（包括黑龙江、吉林、辽宁）,政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:36:43,2022-02-04 16:39:20,02分37秒,黑龙江省,哈尔滨市,1.62.110.71,Chrome 74.0.3729.136,Android Linux 9
302,E_307_607f794a33f0c44a0739f90d_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|线上/线下 演唱会|游戏,线上/线下 演唱会|游戏,虚拟偶像种类:81.0|相关产品的丰富度:19.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:36:51,2022-02-04 16:39:22,02分31秒,江苏省,苏州市,112.1.164.54,Chrome 80.0.3987.99,Android Linux 10
303,E_307_57a7e17dc1a87d796543ab17_4YDNxETM,19-29 岁,男,本科,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,A-SOUL（嘉然今天吃什么）|柳叶熙,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边,虚拟偶像种类:42.0|相关产品的丰富度:48.0|付费价格:10.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:29,2022-02-04 16:39:32,03分03秒,辽宁省,铁岭市,113.236.95.67,Chrome 88.0.4324.93,Android Linux 10
304,E_307_619e10771b242552763ab14f_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:37:06,2022-02-04 16:39:37,02分31秒,黑龙江省,大庆市,112.101.100.196,Chrome 83.0.4103.101,Android Linux 10
305,E_307_5ff1167333f0c489e8cda8fb_4YDNxETM,19-29 岁,女,本科,5000-9999 元,东北地区（包括黑龙江、吉林、辽宁）,企业管理人员,初音未来,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:41.0|相关产品的丰富度:26.0|付费价格:18.0|其他:15.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:36:49,2022-02-04 16:39:43,02分54秒,,,223.104.113.11,Chrome 92.0.4515.131,Android Linux 11
306,E_307_61159c9433f0c47c8725d17b_4YDNxETM,30-45 岁,女,博士研究生及以上,20000 元以上,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依|柳叶熙,不会塌房，追星更加稳定,花过，200至 500 元,每月 201 至 500 元,线上/线下 演唱会|游戏,直播打赏|漫画等周边,虚拟偶像种类:23.0|相关产品的丰富度:42.0|付费价格:27.0|其他:8.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:37:05,2022-02-04 16:39:46,02分41秒,黑龙江省,哈尔滨市,60.219.155.36,Chrome 62.0.3202.84,Android Linux 7.0
307,E_307_61fce3f61b2425ff3ea9828b_4YDNxETM,19-29 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 201 至 500 元,漫画等周边|游戏,代言品牌|漫画等周边,虚拟偶像种类:26.0|相关产品的丰富度:32.0|付费价格:42.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:37:17,2022-02-04 16:39:52,02分35秒,山东省,菏泽市,27.206.203.165,Unknown Browser,iPhone iOS 15.2.1
308,E_307_5fd47cb033f0c48e4e025f72_4YDNxETM,19-29 岁,女,大专,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,洛天依|柳叶熙,不会塌房，追星更加稳定|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|线上/线下 演唱会,代言品牌|游戏,虚拟偶像种类:14.0|相关产品的丰富度:25.0|付费价格:26.0|其他:35.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:36:35,2022-02-04 16:39:52,03分17秒,陕西省,,111.18.208.198,Unknown Browser,iPhone iOS 15.2.1
309,E_307_61e94ab333f0c4d2430de315_4YDNxETM,19-29 岁,男,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌,直播打赏|代言品牌,虚拟偶像种类:37.0|相关产品的丰富度:36.0|付费价格:17.0|其他:10.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:37:27,2022-02-04 16:40:00,02分33秒,福建省,南平市,117.31.62.105,Chrome 97.0.4692.99,Windows 10
310,E_307_61bae1541b2425b1f74dba70_4YDNxETM,19-29 岁,女,初中及以下,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来,精神寄托,花过，200 元以下,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:40.0|相关产品的丰富度:21.0|付费价格:23.0|其他:16.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:37:41,2022-02-04 16:40:09,02分28秒,福建省,漳州市,110.82.10.35,Unknown Browser,iPhone iOS 15.2
311,E_307_61f8af9633f0c4d2431b8171_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,初音未来,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,每月 50 到 200 元,直播打赏|漫画等周边,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:50.0|相关产品的丰富度:50.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:37:44,2022-02-04 16:40:15,02分31秒,江苏省,南京市,122.96.33.90,Chrome 83.0.4103.106,Android Linux 11
