答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
329,E_307_5ffff07033f0c4273de406ce_2IDNxETM,19-29 岁,女,博士研究生及以上,20000 元以上,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:48.0|相关产品的丰富度:25.0|付费价格:27.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:46:33,2022-02-04 10:49:02,02分29秒,河北省,衡水市,123.180.201.77,Chrome 88.0.4324.93,Android Linux 10
330,E_307_60f6224f1b24254c43550e80_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边,直播打赏|代言品牌|线上/线下 演唱会|游戏,虚拟偶像种类:38.0|相关产品的丰富度:0.0|付费价格:62.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:46:30,2022-02-04 10:49:04,02分34秒,河北省,邯郸市,111.226.0.95,Chrome 88.0.4324.93,Android Linux 10
331,E_307_60e1ab7a33f0c4081b240b22_2IDNxETM,30-45 岁,男,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|aespa,不会塌房，追星更加稳定|精神寄托|审美需要,花过，1000 元以上,每月 50 到 200 元,直播打赏|漫画等周边|游戏,直播打赏|代言品牌|线上/线下 演唱会,虚拟偶像种类:33.0|相关产品的丰富度:25.0|付费价格:20.0|其他:22.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:46:27,2022-02-04 10:49:04,02分37秒,新疆维吾尔自治区,阿克苏地区,223.117.125.240,Chrome 83.0.4103.106,Android Linux 10
332,E_307_615a6f6f1b2425a735f08bcb_2IDNxETM,19-29 岁,女,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,洛天依|柳叶熙,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 元以下,代言品牌,代言品牌,虚拟偶像种类:29.0|相关产品的丰富度:24.0|付费价格:47.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:46:35,2022-02-04 10:49:06,02分31秒,江西省,宜春市,106.6.205.109,Chrome 88.0.4324.93,Android Linux 10
333,E_307_61fb8e211b2425ff3da06dc0_2IDNxETM,19-29 岁,男,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,普通职员,洛天依|柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,线上/线下 演唱会,线上/线下 演唱会,虚拟偶像种类:76.0|相关产品的丰富度:0.0|付费价格:24.0|其他:0.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:46:22,2022-02-04 10:49:06,02分44秒,重庆市,重庆市,183.226.166.165,Chrome 92.0.4515.131,Android Linux 11
334,E_307_61f4b69633f0c4d2431869d8_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定,花过，200至 500 元,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:46.0|相关产品的丰富度:54.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:46:16,2022-02-04 10:49:06,02分50秒,浙江省,杭州市,36.19.230.150,Chrome 86.0.4240.99,Android Linux 11
335,E_307_6059adb61b242597d4ce29da_2IDNxETM,19-29 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,推广意义不大，日常流量明星就已经能够满足需要,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:44:18,2022-02-04 10:49:09,04分51秒,浙江省,杭州市,36.28.225.136,Chrome 86.0.4240.99,Android Linux 10
336,E_307_61d6ac4e1b2425aa6fe12ee3_2IDNxETM,30-45 岁,女,本科,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:46:42,2022-02-04 10:49:10,02分28秒,贵州省,遵义市,222.86.23.32,Unknown Browser,iPhone iOS 15.1.1
337,E_307_60586a831b242597d4c95e0a_2IDNxETM,12-18 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,洛天依,不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,线上/线下 演唱会,漫画等周边,虚拟偶像种类:38.0|相关产品的丰富度:62.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:46:33,2022-02-04 10:49:11,02分38秒,浙江省,杭州市,183.158.207.186,Chrome 62.0.3202.84,Android Linux 8.1.0
338,E_307_5663ba38c1a87d7249fae994_2IDNxETM,46 岁及以上,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:46:48,2022-02-04 10:49:18,02分30秒,河北省,唐山市,27.190.154.176,Unknown Browser,iPhone iOS 10.2
339,E_307_61d1dd721b2425f8aa1760e2_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,代言品牌|漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:46:46,2022-02-04 10:49:18,02分32秒,广东省,河源市,113.75.108.26,Unknown Browser,iPhone iOS 15.2.1
340,E_307_61cd9d971b2425214f8bd19c_2IDNxETM,19-29 岁,女,大专,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依|柳叶熙,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边,漫画等周边|线上/线下 演唱会,虚拟偶像种类:54.0|相关产品的丰富度:46.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:46:56,2022-02-04 10:49:28,02分32秒,广东省,梅州市,183.8.88.128,Chrome 79.0.3945.116,Android Linux 9
341,E_307_61c6e8c433f0c456d945f128_2IDNxETM,30-45 岁,女,大专,5000-9999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,游戏,推广意义不大，日常流量明星就已经能够满足需要,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:46:58,2022-02-04 10:49:29,02分31秒,山东省,青岛市,223.104.189.6,Chrome 83.0.4103.106,Android Linux 10
342,E_307_5ee9732fc46131026b1af2f7_2IDNxETM,30-45 岁,男,本科,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,代言品牌|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:10,2022-02-04 10:49:43,02分33秒,山西省,太原市,218.26.159.41,Chrome 88.0.4324.93,Android Linux 10
343,E_307_60ee9ed933f0c4081b3ea894_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,不太清楚,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:46:40,2022-02-04 10:49:45,03分05秒,山东省,济南市,223.104.191.11,Chrome 64.0.3282.137,Android Linux 7.0
344,E_307_6129973f1b242593e0783784_2IDNxETM,19-29 岁,女,本科,5000-9999 元,西南地区（包括重庆、程度、云南、贵州、西藏）,企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|审美需要,花过，200至 500 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:49.0|相关产品的丰富度:32.0|付费价格:19.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:19,2022-02-04 10:49:50,02分31秒,,,39.144.137.112,Chrome 86.0.4240.99,Android Linux 10
345,E_307_6168e6c41b2425a869de84b9_2IDNxETM,30-45 岁,女,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 到 200 元,直播打赏|代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:39,2022-02-04 10:50:12,02分33秒,江苏省,无锡市,223.104.145.169,Unknown Browser,iPhone iOS 11.3
346,E_307_61f8144d1b2425ff3fa764e2_2IDNxETM,19-29 岁,女,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:21,2022-02-04 10:50:14,02分53秒,湖南省,长沙市,223.104.131.67,Chrome 83.0.4103.106,Android Linux 11
347,E_307_5ab8e6d0c1a87d5ae828e528_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,洛天依,精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:42.0|相关产品的丰富度:34.0|付费价格:24.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:45:30,2022-02-04 10:50:21,04分51秒,湖南省,怀化市,223.149.233.40,Chrome 81.0.4044.138,Android Linux 10
348,E_307_553b981bc1a87d28443cc5a7_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:53,2022-02-04 10:50:30,02分37秒,山西省,,120.207.63.102,Chrome 86.0.4240.99,Android Linux 5.1.1
349,E_307_5f8d9b507654804b41ae8732_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),个体经营者/承包商,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|审美需要,花过，200至 500 元,每月 50 到 200 元,漫画等周边|游戏,代言品牌|线上/线下 演唱会,虚拟偶像种类:20.0|相关产品的丰富度:22.0|付费价格:24.0|其他:34.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:00,2022-02-04 10:50:30,02分30秒,河北省,秦皇岛市,221.192.180.123,Chrome 83.0.4103.106,Android Linux 11
350,E_307_60179ff91b2425788ff7d4c8_2IDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依|柳叶熙,娱乐消费，能够带来快乐|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边,虚拟偶像种类:59.0|相关产品的丰富度:22.0|付费价格:19.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:05,2022-02-04 10:50:35,02分30秒,江苏省,,223.107.231.33,Chrome 88.0.4324.93,Android Linux 10
351,E_307_61ae11df33f0c4ac42d9ae86_2IDNxETM,30-45 岁,女,高中,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,洛天依,精神寄托,花过，200至 500 元,每月 50 到 200 元,漫画等周边,线上/线下 演唱会,虚拟偶像种类:65.0|相关产品的丰富度:10.0|付费价格:0.0|其他:25.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:45:05,2022-02-04 10:50:42,05分37秒,浙江省,杭州市,223.104.244.204,Chrome 88.0.4324.93,Android Linux 10
352,E_307_61f39f8433f0c4d24212ac7f_2IDNxETM,30-45 岁,男,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,柳叶熙,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,直播打赏,游戏,虚拟偶像种类:46.0|相关产品的丰富度:54.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:06,2022-02-04 10:50:45,02分39秒,河北省,保定市,27.186.162.74,Chrome 88.0.4324.93,Android Linux 10
353,E_307_5f7da427765480452525f617_2IDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,初音未来|洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|游戏,直播打赏|代言品牌|漫画等周边|游戏,虚拟偶像种类:28.0|相关产品的丰富度:42.0|付费价格:21.0|其他:9.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:02,2022-02-04 10:50:46,02分44秒,河北省,廊坊市,117.136.47.118,Chrome 86.0.4240.99,Android Linux 10
354,E_307_60b48ee61b242588e8bd7234_2IDNxETM,30-45 岁,男,高中,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),政府/事业单位人员,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边,漫画等周边,虚拟偶像种类:38.0|相关产品的丰富度:62.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:48:16,2022-02-04 10:50:46,02分30秒,广西壮族自治区,玉林市,171.111.55.187,Chrome 88.0.4324.93,Android Linux 10
355,E_307_619716c833f0c4987004ddbb_2IDNxETM,19-29 岁,男,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来|A-SOUL（嘉然今天吃什么）|aespa,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:25.0|相关产品的丰富度:26.0|付费价格:33.0|其他:16.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:19,2022-02-04 10:50:49,02分30秒,山东省,烟台市,223.104.188.109,Chrome 88.0.4324.93,Android Linux 10
356,E_307_61e10aca1b2425f18771126b_2IDNxETM,12-18 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,洛天依|柳叶熙,精神寄托|审美需要,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,漫画等周边|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:18,2022-02-04 10:50:55,03分37秒,江苏省,无锡市,180.112.44.203,Chrome 83.0.4103.106,Android Linux 10
357,E_307_518a6f82ffb53a74c140ec42_2IDNxETM,19-29 岁,女,本科,2000-4999 元,华中地区(包括湖北、湖南、河南),学生,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边|游戏,代言品牌|漫画等周边,虚拟偶像种类:32.0|相关产品的丰富度:21.0|付费价格:28.0|其他:19.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:44:51,2022-02-04 10:51:00,06分09秒,湖北省,鄂州市,171.42.227.48,Chrome 86.0.4240.198,Windows 7
358,E_307_6075aebe1b242520bf2b3bef_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,柳叶熙,精神寄托,花过，200 元以下,每月 50 到 200 元,漫画等周边,漫画等周边,虚拟偶像种类:59.0|相关产品的丰富度:41.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:48:08,2022-02-04 10:51:00,02分52秒,浙江省,,223.104.165.236,Chrome 83.0.4103.106,Android Linux 11
359,E_307_61ccdb721b2425214f8a6d12_2IDNxETM,12-18 岁,女,高中,2000 元以下,东北地区（包括黑龙江、吉林、辽宁）,学生,洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,代言品牌|线上/线下 演唱会,代言品牌|线上/线下 演唱会,虚拟偶像种类:47.0|相关产品的丰富度:44.0|付费价格:9.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:48:36,2022-02-04 10:51:09,02分33秒,黑龙江省,哈尔滨市,42.100.129.245,Chrome 86.0.4240.99,Android Linux 11
360,E_307_61f3405b1b2425ff3c98d6e2_2IDNxETM,19-29 岁,女,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:31.0|相关产品的丰富度:35.0|付费价格:29.0|其他:5.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:48:52,2022-02-04 10:51:23,02分31秒,广东省,东莞市,223.104.71.197,Chrome 83.0.4103.106,Android Linux 11
361,E_307_619f84e31b24255279458a8e_2IDNxETM,12岁以下,男,初中及以下,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来,精神寄托,花过，200至 500 元,不愿付费,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,代言品牌|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:46:43,2022-02-04 10:51:29,04分46秒,黑龙江省,哈尔滨市,42.100.176.168,Chrome 86.0.4240.99,Android Linux 9
362,E_307_5f125936c461310b288b5d13_2IDNxETM,30-45 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 50 元以下,代言品牌|线上/线下 演唱会,代言品牌|线上/线下 演唱会,虚拟偶像种类:70.0|相关产品的丰富度:30.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:38,2022-02-04 10:51:30,02分52秒,黑龙江省,齐齐哈尔市,122.157.204.188,Chrome 83.0.4103.106,Android Linux 11
363,E_307_60e6ad7b33f0c4081b2de5eb_2IDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:48:34,2022-02-04 10:51:35,03分01秒,贵州省,毕节市,58.42.169.19,Chrome 88.0.4324.93,Android Linux 10
364,E_307_61ea53cd1b2425ff3f994282_2IDNxETM,19-29 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|柳叶熙,不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:38.0|相关产品的丰富度:44.0|付费价格:9.0|其他:9.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:47:31,2022-02-04 10:51:35,04分04秒,,,39.144.154.46,Chrome 83.0.4103.106,Android Linux 11
